順,トリガー,アニメーション内容,ロボの吹き出し,指差し誘導系,再生アニメーション,備考
1,ステージ1の入り口に移動する,1-1の巻物を押すよう促す,,○,,巻物アイコンを指し示す
2,1-1に到着する,たたかうボタンを押すよう促す,○,○,,吹き出しで説明しつつボタンを指す
3,1-1に入る,HPの説明・カードを入れる操作・実行操作を理解させる,○,○,,吹き出し説明＋HP/スロット/実行ボタンを順に指す
4,1-1の敵をたおす,マップへ戻ることを理解させる,○,○,,マップへ戻る導線を指す
5,1-1クリア後、ステージに戻る,1-2に移動するよう伝える,○,○,,1-2ランドマークを指す
6,1-2に入る,敵カード・防御カードを説明し、わざと失敗させて入れ替えを学ばせる,○,○,,説明＋入れ替え操作を指す。失敗誘導の体験設計あり
7,1-2の敵をたおす,「グレート！その調子でどんどんステージに進もう。」,○,,,セリフのみ
8,1-3に入る,回復カードの説明,○,,,
9,1-4に入る,カウンターカードの説明,○,,,
10,1-4から出る,ステージ2が開放され、次のマップへ移動するよう伝える,○,○,○,開放アニメ＋「ステージ2が開放されたよ！次のマップに移動しよう！」＋マップを指す
11,2-3に入る,専用スロットの説明,○,,,
12,2-4から出る,ステージ3が開放される,,,○,開放アニメのみ
13,3-1に入る,for文（ループ）の説明,○,,,
14,4-3に入る,パワーアップカードの説明,○,,,
15,3-4から出る,ステージ4が開放される,,,○,開放アニメのみ
